,X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster,distlobos,lobos
43,262,49127,2020-02-16,16:00:00,-64.66133,-54.87253,393395.5493,3918128.964,210.946800975979,1,7,9370.18956400991,0
44,267,49127,2020-02-17,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7,9398.06149947569,0
45,272,49127,2020-02-17,16:00:00,-64.6688,-54.864,392893.6459,3919066.622,141.152422703842,1,38,8349.62330954943,0
46,276,49127,2020-02-18,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7,9398.06149947569,0
47,281,49127,2020-02-18,16:00:00,-64.67094,-54.864,392756.3102,3919063.348,59.7371502212687,1,23,8328.28544263222,0
48,287,49127,2020-02-19,16:00:00,-64.658134,-54.875732,393609.0462,3917777.566,24.757600317679,1,37,9760.93083173782,0
49,301,49127,2020-02-21,16:00:00,-64.67947,-54.859734,392197.5129,3919524.892,22.2892074602402,1,4,7792.25653183809,0
50,307,49127,2020-02-22,16:00:00,-64.65387,-54.8928,393927.4631,3915885.028,1044.47658180737,0,57,11676.7997438994,0
51,313,49127,2020-02-23,16:00:00,-64.66133,-54.87467,393401.1974,3917890.865,73.3637417146898,1,58,9603.87137168051,0
52,319,49127,2020-02-24,16:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23,8445.78883812968,0
53,324,49127,2020-02-25,04:00:00,-64.6592,-54.871468,393529.4152,3918250.363,303.590430971419,1,7,9282.52895605194,0
54,328,49127,2020-02-25,16:00:00,-64.6496,-54.88,394167.7481,3917315.633,11.1180964611256,1,63,10349.6975742692,0
55,336,49127,2020-02-26,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7,9383.95174264118,0
56,333,49127,2020-02-26,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32,8427.06451316679,0
57,351,49127,2020-02-28,16:00:00,-64.64854,-54.882133,394241.3343,3917079.914,41.3647707691213,1,67,10596.6237247626,0
58,357,49127,2020-02-29,16:00:00,-64.6752,-54.856533,392463.0536,3919887.599,5.63551795395603,1,3,7467.31136857624,0
59,362,49127,2020-03-01,04:00:00,-64.67094,-54.864,392756.3102,3919063.348,59.7371502212687,1,23,8328.28544263222,0
60,367,49127,2020-03-01,16:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23,8445.78883812968,0
61,375,49127,2020-03-02,16:00:00,-64.664536,-54.87253,393189.8457,3918124.079,230.879318311119,1,1,9331.86672548577,0
62,371,49127,2020-03-02,04:00:00,-64.67094,-54.864,392756.3102,3919063.348,59.7371502212687,1,23,8328.28544263222,0
63,380,49127,2020-03-03,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32,8427.06451316679,0
64,383,49127,2020-03-03,16:00:00,-64.6688,-54.864,392893.6459,3919066.622,141.152422703842,1,38,8349.62330954943,0
65,388,49127,2020-03-04,04:00:00,-64.66987,-54.864,392824.9781,3919064.986,111.807028923392,1,38,8338.67764558291,0
66,393,49127,2020-03-04,16:00:00,-64.6688,-54.864,392893.6459,3919066.622,141.152422703842,1,38,8349.62330954943,0
67,398,49127,2020-03-05,04:00:00,-64.672,-54.865067,392691.1181,3918943.01,85.114295847006,1,23,8436.17754465811,0
68,400,49127,2020-03-05,16:00:00,-64.67094,-54.866135,392761.9772,3918825.807,26.9074860925813,1,25,8563.43764056008,0
69,406,49127,2020-03-06,04:00:00,-64.672,-54.865067,392691.1181,3918943.01,85.114295847006,1,23,8436.17754465811,0
70,415,49127,2020-03-07,16:00:00,-64.666664,-54.868267,393042.0219,3918595.137,298.693685727812,1,78,8840.84105513971,0
71,420,49127,2020-03-08,04:00:00,-64.66987,-54.864,392824.9781,3919064.986,111.807028923392,1,38,8338.67764558291,0
72,433,49127,2020-03-09,16:00:00,-64.69973,-54.80213,390741.7165,3925902.514,5600.3920842449,0,81,1488.2811649804,1
73,435,49127,2020-03-10,04:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23,8445.78883812968,0
74,437,49127,2020-03-10,16:00:00,-64.67094,-54.866135,392761.9772,3918825.807,26.9074860925813,1,25,8563.43764056008,0
75,448,49127,2020-03-11,16:00:00,-64.673065,-54.866135,392625.6114,3918822.551,15.3290596259826,1,32,8544.97160801501,0
76,442,49127,2020-03-11,04:00:00,-64.66987,-54.864,392824.9781,3919064.986,111.807028923392,1,38,8338.67764558291,0
77,452,49127,2020-03-12,04:00:00,-64.68266,-54.859734,391992.7717,3919519.978,119.974487581847,1,14,7777.13155995754,0
78,453,49127,2020-03-12,16:00:00,-64.65707,-54.875732,393677.3092,3917779.182,52.3029584661086,1,37,9775.50297761572,0
79,458,49127,2020-03-13,04:00:00,-64.658134,-54.87253,393600.6113,3918133.823,207.973916363058,1,16,9412.72695538059,0
80,463,49127,2020-03-13,16:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23,8445.78883812968,0
81,471,49127,2020-03-14,16:00:00,-64.67413,-54.861866,392545.9155,3919295.889,54.1789681757994,1,10,8064.90512518908,0
82,467,49127,2020-03-14,04:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23,8445.78883812968,0
83,478,49127,2020-03-15,16:00:00,-64.67413,-54.865067,392554.4279,3918939.744,127.714101233182,1,32,8418.49812560033,0
84,475,49127,2020-03-15,04:00:00,-64.66987,-54.864,392824.9781,3919064.986,111.807028923392,1,38,8338.67764558291,0
85,482,49127,2020-03-16,04:00:00,-64.67413,-54.866135,392557.2681,3918820.918,74.0876730270578,1,32,8536.52376416308,0
86,486,49127,2020-03-17,04:00:00,-64.67413,-54.865067,392554.4279,3918939.744,127.714101233182,1,32,8418.49812560033,0
87,490,49127,2020-03-17,16:00:00,-64.673065,-54.866135,392625.6114,3918822.551,15.3290596259826,1,32,8544.97160801501,0
88,494,49127,2020-03-18,04:00:00,-64.673065,-54.866135,392625.6114,3918822.551,15.3290596259826,1,32,8544.97160801501,0
89,498,49127,2020-03-18,16:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32,8427.06451316679,0
90,501,49127,2020-03-19,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32,8427.06451316679,0
91,507,49127,2020-03-19,16:00:00,-63.922134,-54.794666,440712.4439,3927667.709,47390.7208964977,0,89,4668.94567390274,0
92,512,49127,2020-03-20,16:00:00,-64.1824,-54.746666,423889.6015,3932757.392,33249.852034476,0,90,1489.40852906582,1
93,515,49127,2020-03-21,16:00:00,-64.67094,-54.8672,392764.8041,3918707.314,21.0774256553349,1,25,8680.78969218827,0
94,519,49127,2020-03-22,04:00:00,-64.672,-54.866135,392693.9547,3918824.183,12.0714185664722,1,25,8553.9587897926,0
95,522,49127,2020-03-22,16:00:00,-64.673065,-54.868267,392631.2777,3918585.344,128.524968140033,1,31,8780.42360766962,0
96,531,49127,2020-03-23,16:00:00,-64.6688,-54.864,392893.6459,3919066.622,141.152422703842,1,38,8349.62330954943,0
