X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster
319,49127,2020-02-24,16:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23
324,49127,2020-02-25,04:00:00,-64.6592,-54.871468,393529.4152,3918250.363,303.590430971419,1,7
328,49127,2020-02-25,16:00:00,-64.6496,-54.88,394167.7481,3917315.633,11.1180964611256,1,63
336,49127,2020-02-26,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7
333,49127,2020-02-26,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32
351,49127,2020-02-28,16:00:00,-64.64854,-54.882133,394241.3343,3917079.914,41.3647707691213,1,67
357,49127,2020-02-29,16:00:00,-64.6752,-54.856533,392463.0536,3919887.599,5.63551795395603,1,3
362,49127,2020-03-01,04:00:00,-64.67094,-54.864,392756.3102,3919063.348,59.7371502212687,1,23
367,49127,2020-03-01,16:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23
375,49127,2020-03-02,16:00:00,-64.664536,-54.87253,393189.8457,3918124.079,230.879318311119,1,1
371,49127,2020-03-02,04:00:00,-64.67094,-54.864,392756.3102,3919063.348,59.7371502212687,1,23
380,49127,2020-03-03,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32
383,49127,2020-03-03,16:00:00,-64.6688,-54.864,392893.6459,3919066.622,141.152422703842,1,38
388,49127,2020-03-04,04:00:00,-64.66987,-54.864,392824.9781,3919064.986,111.807028923392,1,38
393,49127,2020-03-04,16:00:00,-64.6688,-54.864,392893.6459,3919066.622,141.152422703842,1,38
398,49127,2020-03-05,04:00:00,-64.672,-54.865067,392691.1181,3918943.01,85.114295847006,1,23
400,49127,2020-03-05,16:00:00,-64.67094,-54.866135,392761.9772,3918825.807,26.9074860925813,1,25
406,49127,2020-03-06,04:00:00,-64.672,-54.865067,392691.1181,3918943.01,85.114295847006,1,23
415,49127,2020-03-07,16:00:00,-64.666664,-54.868267,393042.0219,3918595.137,298.693685727812,1,78
420,49127,2020-03-08,04:00:00,-64.66987,-54.864,392824.9781,3919064.986,111.807028923392,1,38
433,49127,2020-03-09,16:00:00,-64.69973,-54.80213,390741.7165,3925902.514,5600.3920842449,0,81
435,49127,2020-03-10,04:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23
437,49127,2020-03-10,16:00:00,-64.67094,-54.866135,392761.9772,3918825.807,26.9074860925813,1,25
448,49127,2020-03-11,16:00:00,-64.673065,-54.866135,392625.6114,3918822.551,15.3290596259826,1,32
442,49127,2020-03-11,04:00:00,-64.66987,-54.864,392824.9781,3919064.986,111.807028923392,1,38
452,49127,2020-03-12,04:00:00,-64.68266,-54.859734,391992.7717,3919519.978,119.974487581847,1,14
453,49127,2020-03-12,16:00:00,-64.65707,-54.875732,393677.3092,3917779.182,52.3029584661086,1,37
458,49127,2020-03-13,04:00:00,-64.658134,-54.87253,393600.6113,3918133.823,207.973916363058,1,16
463,49127,2020-03-13,16:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23
471,49127,2020-03-14,16:00:00,-64.67413,-54.861866,392545.9155,3919295.889,54.1789681757994,1,10
467,49127,2020-03-14,04:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1,23
478,49127,2020-03-15,16:00:00,-64.67413,-54.865067,392554.4279,3918939.744,127.714101233182,1,32
475,49127,2020-03-15,04:00:00,-64.66987,-54.864,392824.9781,3919064.986,111.807028923392,1,38
