id,date,hour,lon,lat,X,Y
49127,2020-01-23,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49138,2020-01-23,16:00:00,-64.673065,-54.861866,392614.266,3919297.522
49180,2020-01-23,16:00:00,-64.6816,-54.859734,392060.8048,3919521.612
49178,2020-01-23,16:00:00,-64.6784,-54.856533,392257.6542,3919882.682
49138,2020-01-24,04:00:00,-64.673065,-54.861866,392614.266,3919297.522
49180,2020-01-24,04:00:00,-64.6816,-54.859734,392060.8048,3919521.612
49178,2020-01-24,04:00:00,-64.6784,-54.856533,392257.6542,3919882.682
49152,2020-01-24,16:00:00,-64.66773,-54.8736,392987.7472,3918000.155
49127,2020-01-24,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49138,2020-01-24,16:00:00,-64.673065,-54.861866,392614.266,3919297.522
49180,2020-01-24,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49178,2020-01-24,16:00:00,-64.6784,-54.856533,392257.6542,3919882.682
49152,2020-01-25,04:00:00,-64.66773,-54.8736,392987.7472,3918000.155
49178,2020-01-25,04:00:00,-64.6784,-54.856533,392257.6542,3919882.682
49152,2020-01-25,16:00:00,-64.66773,-54.87253,392984.9123,3918119.204
49127,2020-01-25,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49138,2020-01-25,16:00:00,-64.672,-54.8608,392679.7853,3919417.758
49180,2020-01-25,16:00:00,-64.6816,-54.859734,392060.8048,3919521.612
49178,2020-01-25,16:00:00,-64.6784,-54.856533,392257.6542,3919882.682
49127,2020-01-26,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49178,2020-01-26,04:00:00,-64.6784,-54.856533,392257.6542,3919882.682
49152,2020-01-26,16:00:00,-64.6688,-54.8736,392919.0957,3917998.52
49127,2020-01-26,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49180,2020-01-26,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49138,2020-01-26,16:00:00,-64.672,-54.8608,392679.7853,3919417.758
49178,2020-01-26,16:00:00,-64.67733,-54.8576,392329.1773,3919765.613
49127,2020-01-27,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49138,2020-01-27,04:00:00,-64.672,-54.861866,392682.6165,3919299.154
49178,2020-01-27,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49152,2020-01-27,16:00:00,-64.6688,-54.87253,392916.2589,3918117.569
49127,2020-01-27,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204
49180,2020-01-27,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49138,2020-01-27,16:00:00,-64.672,-54.8608,392679.7853,3919417.758
49178,2020-01-27,16:00:00,-64.67733,-54.8576,392329.1773,3919765.613
49152,2020-01-28,04:00:00,-64.66987,-54.8736,392850.4442,3917996.883
49138,2020-01-28,04:00:00,-64.673065,-54.862934,392617.1043,3919178.696
49178,2020-01-28,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49152,2020-01-28,16:00:00,-64.66987,-54.87253,392847.6056,3918115.932
49138,2020-01-28,16:00:00,-64.673065,-54.861866,392614.266,3919297.522
49180,2020-01-28,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49178,2020-01-28,16:00:00,-64.67733,-54.855465,392323.4893,3920003.153
49152,2020-01-29,04:00:00,-64.66987,-54.8736,392850.4442,3917996.883
49138,2020-01-29,04:00:00,-64.673065,-54.861866,392614.266,3919297.522
49178,2020-01-29,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49152,2020-01-29,16:00:00,-64.66987,-54.87253,392847.6056,3918115.932
49127,2020-01-29,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49138,2020-01-29,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247
49180,2020-01-29,16:00:00,-64.6816,-54.859734,392060.8048,3919521.612
49178,2020-01-29,16:00:00,-64.67733,-54.8576,392329.1773,3919765.613
49127,2020-01-30,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49152,2020-01-30,16:00:00,-64.67094,-54.869335,392770.4712,3918469.773
49138,2020-01-30,16:00:00,-64.6752,-54.862934,392480.086,3919175.421
49180,2020-01-30,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49178,2020-01-30,16:00:00,-64.67733,-54.8576,392329.1773,3919765.613
49138,2020-01-31,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247
49178,2020-01-31,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49127,2020-01-31,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49152,2020-01-31,16:00:00,-64.67094,-54.871468,392776.1332,3918232.454
49138,2020-01-31,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247
49180,2020-01-31,16:00:00,-64.6816,-54.859734,392060.8048,3919521.612
