,id,date,hour,lon,lat,X,Y,distppa,colonia
54,49178,2020-01-20,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
55,49152,2020-01-20,16:00:00,-64.6688,-54.8736,392919.0957,3917998.52,1.89643027650737,1
56,49127,2020-01-20,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1
57,49180,2020-01-20,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
58,49138,2020-01-20,16:00:00,-64.67627,-54.8608,392405.7343,3919411.208,86.8728657932399,1
59,49178,2020-01-20,16:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
60,49152,2020-01-21,04:00:00,-64.6688,-54.8736,392919.0957,3917998.52,1.89643027650737,1
61,49138,2020-01-21,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1
62,49180,2020-01-21,04:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
63,49178,2020-01-21,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
64,49152,2020-01-21,16:00:00,-64.6688,-54.8736,392919.0957,3917998.52,1.89643027650737,1
65,49127,2020-01-21,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1
66,49138,2020-01-21,16:00:00,-64.673065,-54.8608,392611.433,3919416.126,123.943998384533,1
67,49180,2020-01-21,16:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
68,49178,2020-01-21,16:00:00,-64.6784,-54.8576,392260.4987,3919763.967,42.7825007043546,1
69,49152,2020-01-22,04:00:00,-64.6688,-54.8736,392919.0957,3917998.52,1.89643027650737,1
70,49138,2020-01-22,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1
71,49178,2020-01-22,04:00:00,-64.6784,-54.856533,392257.6542,3919882.682,121.069035763666,1
72,49152,2020-01-22,16:00:00,-64.66773,-54.8736,392987.7472,3918000.155,4.06880995747202,1
73,49127,2020-01-22,16:00:00,-64.66026,-54.8736,393467.0249,3918011.543,73.5817611382097,1
74,49138,2020-01-22,16:00:00,-64.673065,-54.8608,392611.433,3919416.126,123.943998384533,1
75,49178,2020-01-22,16:00:00,-64.6784,-54.856533,392257.6542,3919882.682,121.069035763666,1
76,49152,2020-01-23,04:00:00,-64.66773,-54.87467,392990.5821,3917881.106,13.3917908745856,1
77,49180,2020-01-23,04:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
78,49178,2020-01-23,04:00:00,-64.6784,-54.856533,392257.6542,3919882.682,121.069035763666,1
79,49152,2020-01-23,16:00:00,-64.66773,-54.8736,392987.7472,3918000.155,4.06880995747202,1
80,49127,2020-01-23,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1
81,49138,2020-01-23,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1
82,49180,2020-01-23,16:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
83,49178,2020-01-23,16:00:00,-64.6784,-54.856533,392257.6542,3919882.682,121.069035763666,1
84,49138,2020-01-24,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1
85,49180,2020-01-24,04:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
86,49178,2020-01-24,04:00:00,-64.6784,-54.856533,392257.6542,3919882.682,121.069035763666,1
87,49152,2020-01-24,16:00:00,-64.66773,-54.8736,392987.7472,3918000.155,4.06880995747202,1
88,49127,2020-01-24,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1
89,49138,2020-01-24,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1
90,49180,2020-01-24,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
91,49178,2020-01-24,16:00:00,-64.6784,-54.856533,392257.6542,3919882.682,121.069035763666,1
92,49152,2020-01-25,04:00:00,-64.66773,-54.8736,392987.7472,3918000.155,4.06880995747202,1
93,49178,2020-01-25,04:00:00,-64.6784,-54.856533,392257.6542,3919882.682,121.069035763666,1
94,49152,2020-01-25,16:00:00,-64.66773,-54.87253,392984.9123,3918119.204,95.729145808036,1
95,49127,2020-01-25,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1
96,49138,2020-01-25,16:00:00,-64.672,-54.8608,392679.7853,3919417.758,97.9531957819634,1
97,49180,2020-01-25,16:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
98,49178,2020-01-25,16:00:00,-64.6784,-54.856533,392257.6542,3919882.682,121.069035763666,1
99,49127,2020-01-26,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1
100,49178,2020-01-26,04:00:00,-64.6784,-54.856533,392257.6542,3919882.682,121.069035763666,1
101,49152,2020-01-26,16:00:00,-64.6688,-54.8736,392919.0957,3917998.52,1.89643027650737,1
102,49127,2020-01-26,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1
103,49180,2020-01-26,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
104,49138,2020-01-26,16:00:00,-64.672,-54.8608,392679.7853,3919417.758,97.9531957819634,1
105,49178,2020-01-26,16:00:00,-64.67733,-54.8576,392329.1773,3919765.613,0.0726034828750366,1
106,49127,2020-01-27,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1
107,49138,2020-01-27,04:00:00,-64.672,-54.861866,392682.6165,3919299.154,28.6451112086743,1
108,49178,2020-01-27,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
109,49152,2020-01-27,16:00:00,-64.6688,-54.87253,392916.2589,3918117.569,47.9235613296878,1
110,49127,2020-01-27,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1
111,49180,2020-01-27,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
112,49138,2020-01-27,16:00:00,-64.672,-54.8608,392679.7853,3919417.758,97.9531957819634,1
113,49178,2020-01-27,16:00:00,-64.67733,-54.8576,392329.1773,3919765.613,0.0726034828750366,1
114,49152,2020-01-28,04:00:00,-64.66987,-54.8736,392850.4442,3917996.883,18.0373335730461,1
115,49138,2020-01-28,04:00:00,-64.673065,-54.862934,392617.1043,3919178.696,1.84855075933725,1
116,49178,2020-01-28,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
117,49152,2020-01-28,16:00:00,-64.66987,-54.87253,392847.6056,3918115.932,61.96712003856,1
118,49138,2020-01-28,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1
119,49180,2020-01-28,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
120,49178,2020-01-28,16:00:00,-64.67733,-54.855465,392323.4893,3920003.153,154.370300093044,1
121,49152,2020-01-29,04:00:00,-64.66987,-54.8736,392850.4442,3917996.883,18.0373335730461,1
122,49138,2020-01-29,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1
123,49178,2020-01-29,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
124,49152,2020-01-29,16:00:00,-64.66987,-54.87253,392847.6056,3918115.932,61.96712003856,1
