"","cluster","lon","lat","time","colonia","dist.col","frequency","no.ind"
"83",83,-64.67627,-54.858665,"both",1,36.4711293052809,3,2
"84",84,-64.666664,-54.8512,"night",1,319.129498945065,3,1
"85",85,-64.69334,-54.78507,"both",0,7329.80596426969,2,2
"86",86,-64.3456,-54.727467,"day",0,24953.6763472081,1,1
"87",87,-64.66347,-54.850132,"night",0,479.476429630728,1,1
"88",88,-64.66347,-54.853333,"both",1,351.515878352226,5,2
"89",89,-63.922134,-54.794666,"day",0,47390.7208964977,1,1
"90",90,-64.1824,-54.746666,"day",0,33249.852034476,1,1
"91",91,-64.69867,-54.804268,"day",0,5353.26586203118,1,1
"92",92,-64.66987,-54.859734,"day",1,149.367108788728,1,1
"93",93,-64.69013,-54.7872,"day",0,7058.87290068258,1,1
"94",94,-64.6592,-54.784,"day",0,7347.34251730434,1,1
"95",95,-64.51307,-54.7968,"night",0,11726.1459751111,1,1
"96",96,-64.66133,-54.88,"day",1,197.790795993737,3,1
"97",97,-64.72747,-54.8544,"both",0,3038.21051405744,3,2
"98",98,-64.733864,-54.858665,"both",0,3350.12278515188,5,1
"99",99,-64.58453,-54.8352,"day",0,5773.77981872811,1,1
"100",100,-64.544,-54.725334,"both",0,16066.2783743408,3,3
"101",101,-64.736,-54.856533,"day",0,3519.33580446051,1,1
"102",102,-64.736,-54.858665,"night",0,3486.46942329346,3,1
"103",103,-64.73067,-54.80747,"both",0,6055.28149959817,8,3
"104",104,-64.7328,-54.8064,"both",0,6234.12945962378,24,3
"105",105,-64.72853,-54.80747,"both",0,5969.47528955154,3,2
"106",106,-64.6752,-54.8704,"day",0,378.875498646952,1,1
"107",107,-64.746666,-54.8544,"day",0,4236.36022683494,1,1
"108",108,-64.74987,-54.834133,"day",0,5253.13995007832,1,1
"109",109,-64.4288,-54.7584,"day",0,18586.4708076698,1,1
"110",110,-64.71467,-54.797867,"both",0,6407.22725620016,2,2
"111",111,-64.25066,-54.727467,"night",0,30255.969449146,2,1
"112",112,-64.72,-54.849068,"day",0,2767.3190197853,1,1
"113",113,-64.73493,-54.8064,"both",0,6321.89672757756,18,3
"114",114,-64.67413,-54.798935,"both",0,5649.93683077138,3,2
"115",115,-64.28053,-54.7296,"day",0,28440.2962183108,1,1
"116",116,-64.73067,-54.805332,"both",0,6241.74278103214,6,2
"117",117,-64.5088,-54.795734,"night",0,12023.1696141582,1,1
"118",118,-64.5248,-54.770134,"both",0,12906.6841561878,2,2
"119",119,-64.24747,-54.727467,"both",0,30439.3539268909,2,1
"120",120,-64.72747,-54.8064,"both",0,6022.53208188568,19,2
"121",121,-64.60907,-54.907734,"day",0,3648.03160129958,1,1
"122",122,-64.724266,-54.805332,"both",0,5998.68521264055,6,2
"123",123,-64.6592,-54.882133,"day",1,74.5956770262561,1,1
"124",124,-64.24747,-54.724266,"day",0,30601.1525123073,1,1
"125",125,-64.28267,-54.731735,"night",0,28206.9596894376,1,1
"126",126,-64.24427,-54.7264,"both",0,30676.8395224891,2,1
"127",127,-64.57387,-54.814934,"day",0,7336.14573451339,1,1
"128",128,-64.70613,-54.794666,"both",0,6521.03185501043,2,2
"129",129,-64.2304,-54.756268,"day",0,30008.7616226198,1,1
"130",130,-64.26987,-54.682667,"day",0,31802.4185237478,1,1
"131",131,-64.71467,-54.8,"both",0,6194.41725849009,5,1
"132",132,-64.27627,-54.730667,"night",0,28626.9695195625,1,1
"133",133,-64.27306,-54.791466,"day",0,25868.8458297413,1,1
