"","site","lon","lat","time","colonia","dist.col","frequency","no.ind"
"74",148,-64.717865,-54.8,"16:00:00",0,6289.65844571313,1,1
"75",149,-63.808,-54.718933,"16:00:00",0,56733.5903752792,1,1
"76",151,-64.64854,-54.776535,"16:00:00",0,8265.71570980216,1,1
"77",154,-64.701866,-54.7968,"16:00:00",0,6206.20107857777,1,1
"78",155,-64.70827,-54.8,"16:00:00",0,6020.18616618338,2,1
"79",156,-64.724266,-54.8064,"16:00:00",0,5901.25129233086,1,1
"80",158,-64.70506,-54.8,"16:00:00",0,5941.59983578817,1,1
"81",159,-64.7424,-54.80213,"16:00:00",0,6995.23034170817,1,1
"82",160,-64.695465,-54.8064,"16:00:00",0,5062.68619604186,1,1
"83",161,-64.72853,-54.8128,"16:00:00",0,5514.6697375983,1,1
"84",162,-64.709335,-54.795734,"16:00:00",0,6484.54579555552,2,2
"85",163,-64.709335,-54.792534,"16:00:00",0,6815.63526969716,1,1
"86",164,-64.2464,-54.7456,"16:00:00",0,29650.4433771159,1,1
"87",165,-64.2368,-54.7456,"16:00:00",0,30205.7919970097,2,1
"88",166,-64.2592,-54.673065,"16:00:00",0,32989.833732526,1,1
"89",167,-64.24533,-54.699734,"16:00:00",0,32063.4603809559,1,1
"90",168,-64.2208,-54.848,"16:00:00",0,27450.0751942444,1,1
"91",170,-64.2208,-54.842667,"16:00:00",0,27538.2194407579,1,1
"92",172,-64.5664,-54.8128,"16:00:00",0,7869.45023334691,1,1
"93",173,-64.576,-54.887466,"16:00:00",0,4448.86268159805,1,1
"94",174,-64.52053,-54.772266,"16:00:00",0,12948.4742053802,2,1
"95",176,-64.31467,-54.736,"16:00:00",0,26169.1788452976,1,1
"96",178,-64.1824,-54.837334,"16:00:00",0,30068.2278053988,1,1
"97",179,-64.20693,-54.808533,"16:00:00",0,29245.5521481784,1,1
"98",180,-64.67627,-54.906666,"16:00:00",0,2914.20559054961,1,1
"99",181,-64.1824,-54.833065,"16:00:00",0,30150.6976128039,1,1
"100",182,-64.717865,-54.8064,"16:00:00",0,5673.57908118848,1,1
"101",183,-64.69334,-54.811733,"16:00:00",0,4456.24773069481,1,1
"102",184,-64.71893,-54.8032,"16:00:00",0,6013.55529259043,1,1
